ID,Target
0,1
1,2
2,0
3,0
4,2
5,1
6,2
7,1
8,1
9,2
10,0
11,1
12,2
13,2
14,2
15,0
16,2
17,0
18,2
19,1
20,0
21,2
22,2
23,0
24,2
25,1
26,1
27,1
28,0
29,1
30,1
31,0
32,1
33,1
34,2
35,0
36,2
37,0
38,2
39,1
40,2
41,1
42,1
43,0
44,2
45,1
46,1
47,1
48,1
49,2
50,2
51,0
52,1
53,0
54,2
55,0
56,1
57,1
58,1
59,2
60,2
61,2
62,2
63,1
64,0
65,0
66,2
67,0
68,1
69,1
70,1
71,2
72,2
73,1
74,0
75,0
76,0
77,0
78,1
79,1
80,2
81,0
82,2
83,0
84,1
85,1
86,2
87,1
88,2
89,0
90,1
91,1
92,0
93,2
94,2
95,0
96,0
97,0
98,1
99,2
100,2
101,1
102,0
103,1
104,2
105,0
106,1
107,0
108,1
109,0
110,1
111,1
112,0
113,2
114,0
115,0
116,1
117,1
118,0
119,2
120,0
121,2
122,1
123,1
124,0
125,1
126,0
127,0
128,0
129,0
130,2
131,0
132,0
133,1
134,1
135,1
136,1
137,0
138,1
139,0
140,1
141,0
142,2
143,0
144,0
145,0
146,1
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,2
155,1
156,1
157,0
158,2
159,0
160,2
161,2
162,2
163,1
164,0
165,0
166,1
167,0
168,1
169,0
170,0
171,2
172,2
173,1
174,2
175,1
176,1
177,2
178,1
179,0
180,0
181,1
182,0
183,0
184,1
185,2
186,0
187,1
188,2
189,0
190,2
191,0
192,1
193,2
194,1
195,2
196,0
197,1
198,2
199,0
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,2
208,2
209,0
210,0
211,0
212,1
213,1
214,0
215,0
216,0
217,0
218,2
219,2
220,0
221,1
222,2
223,0
224,2
225,2
226,2
227,0
228,2
229,2
230,1
231,0
232,1
233,1
234,0
235,0
236,1
237,1
238,2
239,0
240,2
241,1
242,1
243,1
244,1
245,0
246,2
247,2
248,0
249,2
250,0
251,1
252,2
253,1
254,0
255,1
256,1
257,1
258,1
259,0
260,2
261,1
262,2
263,0
264,1
265,1
266,1
267,0
268,1
269,0
270,0
271,0
272,1
273,0
274,1
275,0
276,2
277,2
278,2
279,0
280,2
281,1
282,0
283,1
284,1
285,2
286,0
287,0
288,2
289,1
290,1
291,2
292,1
293,1
294,2
295,0
296,1
297,2
298,2
299,2
300,1
301,1
302,1
303,1
304,1
305,0
306,1
307,2
308,2
309,0
310,1
311,0
312,2
313,2
314,1
315,1
316,2
317,2
318,0
319,1
320,0
321,2
322,1
323,1
324,2
325,0
326,1
327,2
328,0
329,1
330,2
331,2
332,1
333,0
334,1
335,0
336,1
337,1
338,1
339,1
340,0
341,2
342,2
343,1
344,2
345,0
346,1
347,0
348,2
349,0
350,0
351,0
352,0
353,1
354,2
355,2
356,2
357,2
358,2
359,0
360,2
361,2
362,2
363,2
364,2
365,0
366,0
367,2
368,1
369,1
370,1
371,1
372,0
373,0
374,0
375,1
376,0
377,2
378,1
379,2
380,0
381,0
382,1
383,0
384,1
385,2
386,2
387,1
388,0
389,2
390,1
391,2
392,2
393,2
394,0
395,2
396,1
397,2
398,0
399,1
400,1
401,2
402,0
403,0
404,0
405,2
406,0
407,2
408,0
409,2
410,0
411,2
412,0
413,0
414,2
415,0
416,1
417,1
418,2
419,2
420,2
421,0
422,0
423,0
424,0
425,2
426,1
427,1
428,2
429,1
430,2
431,1
432,1
433,0
434,1
435,2
436,0
437,1
438,2
439,2
440,2
441,2
442,1
443,0
444,2
445,0
446,1
447,2
448,1
449,0
450,1
451,0
452,2
453,0
454,2
455,2
456,1
457,1
458,0
459,0
460,1
461,0
462,0
463,0
464,2
465,2
466,0
467,0
468,2
469,0
470,2
471,1
472,0
473,0
474,2
475,1
476,1
477,2
478,1
479,0
480,1
481,2
482,1
483,2
484,2
485,2
486,1
487,1
488,0
489,2
490,2
491,0
492,2
493,1
494,0
495,1
496,2
497,2
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,1
506,1
507,0
508,0
509,1
510,2
511,1
512,0
513,1
514,1
515,2
516,0
517,2
518,2
519,0
520,1
521,2
522,1
523,2
524,1
525,1
526,2
527,0
528,0
529,2
530,0
531,0
532,2
533,0
534,1
535,0
536,0
537,1
538,0
539,2
540,0
541,2
542,1
543,2
544,1
545,1
546,1
547,1
548,1
549,0
550,2
551,2
552,2
553,2
554,1
555,0
556,1
557,2
558,1
559,2
560,1
561,1
562,2
563,1
564,1
565,1
566,1
567,1
568,2
569,0
570,2
571,1
572,1
573,2
574,0
575,1
576,0
577,2
578,2
579,2
580,2
581,1
582,2
583,1
584,1
585,2
586,0
587,0
588,0
589,0
590,1
591,0
592,0
593,0
594,2
595,2
596,0
597,0
598,2
599,0
600,1
601,0
602,1
603,2
604,2
605,0
606,1
607,1
608,2
609,1
610,2
611,1
612,1
613,0
614,0
615,0
616,0
617,2
618,1
619,0
620,2
621,1
622,0
623,1
624,2
625,2
626,1
627,0
628,2
629,0
630,0
631,2
632,0
633,1
634,0
635,2
636,2
637,1
638,2
639,1
640,2
641,2
642,2
643,1
644,0
645,0
646,2
647,0
648,2
649,2
650,1
651,1
652,1
653,1
654,1
655,2
656,2
657,1
658,0
659,2
660,0
661,2
662,0
663,0
664,1
665,0
666,0
667,0
668,1
669,0
670,0
671,2
672,2
673,2
674,1
675,1
676,1
677,0
678,1
679,0
680,2
681,1
682,1
683,0
684,2
685,2
686,0
687,1
688,0
689,2
690,1
691,2
692,2
693,1
694,1
695,0
696,2
697,1
698,1
699,0
700,1
701,2
702,0
703,1
704,2
705,1
706,2
707,0
708,2
709,2
710,0
711,1
712,0
713,0
714,0
715,0
716,2
717,2
718,1
719,0
720,0
721,2
722,1
723,2
724,2
725,0
726,2
727,0
728,2
729,2
730,0
731,0
732,1
733,1
734,2
735,1
736,1
737,1
738,2
739,2
740,0
741,1
742,1
743,0
744,2
745,0
746,2
747,0
748,0
749,0
750,2
751,0
752,1
753,1
754,0
755,0
756,1
757,2
758,0
759,1
760,2
761,0
762,2
763,2
764,0
765,1
766,2
767,2
768,1
769,0
770,2
771,2
772,0
773,2
774,2
775,1
776,1
777,2
778,0
779,1
780,0
781,1
782,1
783,1
784,1
785,1
786,0
787,0
788,2
789,0
790,2
791,1
792,0
793,2
794,2
795,0
796,0
797,1
798,2
799,2
800,2
801,0
802,2
803,0
804,0
805,2
806,1
807,2
808,1
809,1
810,0
811,2
812,0
813,0
814,0
815,2
816,1
817,0
818,0
819,2
820,0
821,2
822,0
823,2
824,2
825,0
826,0
827,1
828,0
829,2
830,0
831,0
832,1
833,0
834,1
835,1
836,2
837,2
838,1
839,0
840,1
841,0
842,2
843,0
844,0
845,0
846,2
847,1
848,0
849,0
850,0
851,1
852,2
853,2
854,2
855,2
856,1
857,2
858,1
859,0
860,1
861,0
862,0
863,2
864,2
865,0
866,1
867,2
868,1
869,1
870,2
871,0
872,1
873,0
874,1
875,1
876,2
877,0
878,2
879,2
880,0
881,2
882,0
883,2
884,0
885,2
886,0
887,0
888,0
889,0
890,2
891,2
892,0
893,0
894,0
895,2
896,2
897,0
898,1
899,2
900,0
901,2
902,0
903,2
904,0
905,2
906,2
907,2
908,0
909,0
910,1
911,2
912,1
913,1
914,0
915,1
916,2
917,0
918,0
919,2
920,1
921,1
922,1
923,0
924,1
925,0
926,2
927,2
928,0
929,2
930,0
931,0
932,0
933,2
934,0
935,1
936,0
937,0
938,1
939,2
940,0
941,1
942,0
943,2
944,1
945,1
946,0
947,0
948,1
949,0
950,2
951,2
952,0
953,0
954,0
955,1
956,0
957,1
958,0
959,2
960,1
961,2
962,2
